"province","health_sector","vaccination_date","total_number_vaccines_administered"
"Northern Cape","Public Health","2021-09-18",319
"North West","Private Health","2021-08-16",3271
"Limpopo","Private Health","2021-06-24",255
"Eastern Cape","Public Health","2021-06-27",1
"Free State","Private Health","2021-09-03",3214
"Limpopo","Public Health","2021-10-25",9926
"Mpumalanga","Public Health","2021-08-24",8650
"Northern Cape","Private Health","2021-08-22",37
"Free State","Private Health","2021-10-31",26
"Northern Cape","Private Health","2021-11-14",126
"North West","Public Health","2021-11-13",2891
"free state","Private Health","2021-12-10",2
"Western Cape","Private Health","2021-10-17",522
"Free State","Public Health","2021-05-20",438
"Limpopo","Private Health","2021-11-28",27
"Mpumalanga","Private Health","2021-10-28",1854
"North West","Private Health","2021-09-21",4191
"Free State","Private Health","2021-08-05",1676
"KwaZulu-Natal","Public Health","2021-07-25",5837
"Northern Cape","Private Health","2021-12-14",373
"Northern Cape","Public Health","2021-09-21",2192
"Limpopo","Private Health","2021-12-10",2027
"free state","Public Health","2021-12-14",2
"Mpumalanga","Private Health","2021-08-27",2404
"Western Cape","Public Health","2021-09-20",12780
"KwaZulu-Natal","Public Health","2021-11-15",8808
"North West","Private Health","2021-07-06",895
"Mpumalanga","Private Health","2021-08-12",2015
"western cape","Private Health","2021-12-02",30
"Mpumalanga","Public Health","2021-08-10",4010
"western cape","Private Health","2021-12-08",154
"Free State","Public Health","2021-09-17",7697
"KwaZulu-Natal","Public Health","2021-11-04",10214
"Western Cape","Public Health","2021-08-15",15
"Mpumalanga","Private Health","2021-07-19",1758
"Mpumalanga","Public Health","2021-12-14",1777
"Northern Cape","Public Health","2021-11-26",770
"Free State","Public Health","2021-11-26",4559
"Gauteng","Private Health","2021-08-27",36547
"Free State","Public Health","2021-08-16",4916
"Eastern Cape","Public Health","2021-11-30",11073
"Northern Cape","Private Health","2021-09-05",92
"Western Cape","Public Health","2021-06-18",10433
"Gauteng","Private Health","2021-11-26",16296
"North West","Private Health","2021-08-05",3059
"Limpopo","Private Health","2021-07-29",3247
"North West","Private Health","2021-11-02",3089
"Free State","Private Health","2021-07-11",1
"Eastern Cape","Public Health","2021-10-24",771
"Limpopo","Public Health","2021-08-01",65
"Free State","Private Health","2021-09-13",2740
"kwazulu-natal","Public Health","2021-12-02",5
"Limpopo","Private Health","2021-10-16",379
"Limpopo","Public Health","2021-05-24",4618
"Mpumalanga","Public Health","2021-09-01",10309
"Northern Cape","Public Health","2021-09-19",49
"Free State","Public Health","2021-08-30",8088
"Eastern Cape","Public Health","2021-11-03",12484
"Western Cape","Public Health","2021-10-24",40
"North West","Public Health","2021-11-08",2080
"Gauteng","Public Health","2021-09-15",31395
"Limpopo","Public Health","2021-07-27",16981
"Free State","Public Health","2021-08-15",154
"Gauteng","Private Health","2021-11-23",13192
"KwaZulu-Natal","Public Health","2021-07-22",36501
"North West","Public Health","2021-11-09",3695
"Northern Cape","Private Health","2021-07-25",18
"KwaZulu-Natal","Public Health","2021-09-18",4097
"KwaZulu-Natal","Public Health","2021-05-27",20674
"KwaZulu-Natal","Private Health","2021-11-20",2215
"Limpopo","Private Health","2021-07-10",113
"Eastern Cape","Public Health","2021-10-09",1151
"Limpopo","Public Health","2021-06-28",12019
"Gauteng","Private Health","2021-11-03",15986
"Free State","Public Health","2021-10-14",6597
"Mpumalanga","Public Health","2021-10-31",456
"Mpumalanga","Private Health","2021-10-08",2834
"North West","Public Health","2021-10-17",162
"KwaZulu-Natal","Public Health","2021-11-01",5131
"KwaZulu-Natal","Public Health","2021-09-13",23425
"Gauteng","Private Health","2021-11-06",6384
"Limpopo","Public Health","2021-10-26",9260
"Limpopo","Public Health","2021-09-20",4364
"Limpopo","Private Health","2021-10-10",39
"Gauteng","Public Health","2021-08-31",35472
"Northern Cape","Private Health","2021-07-07",346
"Mpumalanga","Public Health","2021-06-25",2270
"Free State","Public Health","2021-07-01",3007
"Gauteng","Private Health","2021-07-01",8442
"KwaZulu-Natal","Private Health","2021-09-02",9110
"KwaZulu-Natal","Private Health","2021-11-18",3377
"Mpumalanga","Public Health","2021-06-05",372
"North West","Private Health","2021-11-30",2352
"Western Cape","Private Health","2021-09-02",13198
"Western Cape","Public Health","2021-08-29",52
"KwaZulu-Natal","Public Health","2021-10-03",4134
"Mpumalanga","Private Health","2021-07-24",100
"Gauteng","Private Health","2021-06-27",545
"Limpopo","Public Health","2021-06-19",118
"Free State","Private Health","2021-11-12",1689
"Free State","Private Health","2021-09-09",2406
"Free State","Private Health","2021-07-20",2087
"KwaZulu-Natal","Private Health","2021-12-04",2910
"North West","Public Health","2021-07-07",6422
"North West","Private Health","2021-05-25",169
"Mpumalanga","Public Health","2021-05-26",2640
"limpopo","Public Health","2021-12-09",1
"KwaZulu-Natal","Public Health","2021-11-14",3392
"KwaZulu-Natal","Private Health","2021-08-13",5947
"Eastern Cape","Public Health","2021-09-29",10954
"Limpopo","Public Health","2021-09-25",33
"Eastern Cape","Public Health","2021-05-26",6399
"North West","Public Health","2021-11-19",3152
"Northern Cape","Private Health","2021-10-16",189
"Gauteng","Public Health","2021-06-19",86
"Free State","Private Health","2021-12-14",1114
"western cape","Private Health","2021-12-06",147
"KwaZulu-Natal","Public Health","2021-06-25",7116
"Limpopo","Public Health","2021-10-01",3381
"Mpumalanga","Public Health","2021-12-05",814
"KwaZulu-Natal","Private Health","2021-11-06",2192
"North West","Public Health","2021-11-03",3399
"Gauteng","Public Health","2021-11-14",4307
"Limpopo","Private Health","2021-11-10",1588
"Limpopo","Public Health","2021-06-11",4029
"Gauteng","Private Health","2021-08-24",31361
"Free State","Public Health","2021-10-26",7321
"Western Cape","Public Health","2021-09-08",24848
"KwaZulu-Natal","Private Health","2021-11-21",402
"Mpumalanga","Private Health","2021-10-27",1518
"Limpopo","Public Health","2021-08-20",4064
"Limpopo","Private Health","2021-12-05",8
"Gauteng","Private Health","2021-06-16",90
"Mpumalanga","Private Health","2021-05-27",147
"Western Cape","Public Health","2021-07-05",16278
"Eastern Cape","Public Health","2021-08-25",26848
"North West","Public Health","2021-06-03",3926
"Western Cape","Private Health","2021-08-22",2021
"Northern Cape","Private Health","2021-06-04",42
"Eastern Cape","Public Health","2021-08-17",17633
"Eastern Cape","Private Health","2021-06-08",1224
"Eastern Cape","Public Health","2021-09-21",13601
"Gauteng","Public Health","2021-09-14",31908
"North West","Private Health","2021-07-20",2253
"Northern Cape","Public Health","2021-08-29",290
"Mpumalanga","Private Health","2021-08-25",2499
"Northern Cape","Private Health","2021-10-27",846
"North West","Public Health","2021-10-06",4113
"KwaZulu-Natal","Private Health","2021-11-08",3430
"Gauteng","Private Health","2021-12-06",15707
"Eastern Cape","Public Health","2021-12-08",6737
"Mpumalanga","Public Health","2021-05-18",2977
"Western Cape","Private Health","2021-11-18",5343
"North West","Public Health","2021-09-29",4384
"Gauteng","Private Health","2021-08-20",35072
"Free State","Private Health","2021-12-02",1804
"Eastern Cape","Public Health","2021-10-14",13678
"Northern Cape","Private Health","2021-11-20",151
"Western Cape","Public Health","2021-06-04",10880
"Limpopo","Public Health","2021-05-30",1
"Western Cape","Public Health","2021-10-03",4076
"KwaZulu-Natal","Private Health","2021-05-29",12
"Free State","Private Health","2021-09-28",2225
"Gauteng","Public Health","2021-06-01",12770
"Western Cape","Public Health","2021-12-15",6191
"Gauteng","Private Health","2021-11-09",14409
"Mpumalanga","Public Health","2021-08-23",7797
"Western Cape","Public Health","2021-09-07",22737
"Mpumalanga","Public Health","2021-06-24",2607
"Limpopo","Public Health","2021-08-25",16319
"Limpopo","Public Health","2021-11-24",6435
"Eastern Cape","Public Health","2021-10-27",11993
"Eastern Cape","Public Health","2021-08-18",19316
"Western Cape","Private Health","2021-05-22",88
"Free State","Public Health","2021-06-05",482
"Mpumalanga","Public Health","2021-06-10",4105
"Eastern Cape","Private Health","2021-07-22",4443
"Free State","Public Health","2021-06-03",4923
"Northern Cape","Private Health","2021-11-03",829
"Western Cape","Private Health","2021-05-21",185
"Northern Cape","Public Health","2021-07-31",80
"Mpumalanga","Private Health","2021-08-28",249
"Limpopo","Private Health","2021-11-18",2495
"Western Cape","Public Health","2021-10-27",18059
"Free State","Private Health","2021-10-25",2145
"Western Cape","Private Health","2021-05-25",202
"Mpumalanga","Private Health","2021-10-01",2241
"Limpopo","Private Health","2021-07-27",3206
"North West","Public Health","2021-06-30",4586
"Eastern Cape","Public Health","2021-11-07",867
"Western Cape","Public Health","2021-10-29",19978
"Western Cape","Private Health","2021-12-13",4493
"Mpumalanga","Public Health","2021-10-17",127
"Gauteng","Public Health","2021-07-02",12224
"Gauteng","Private Health","2021-07-25",3085
"North West","Private Health","2021-08-03",2604
"Eastern Cape","Private Health","2021-09-28",3135
"North West","Public Health","2021-08-11",4270
"KwaZulu-Natal","Private Health","2021-07-06",6148
"Mpumalanga","Private Health","2021-07-16",1557
"Mpumalanga","Public Health","2021-08-22",393
"Limpopo","Private Health","2021-07-18",20
"Northern Cape","Public Health","2021-08-09",168
"North West","Private Health","2021-06-28",335
"Eastern Cape","Private Health","2021-10-03",322
"Gauteng","Private Health","2021-12-04",7598
"Gauteng","Private Health","2021-07-07",17925
"Limpopo","Private Health","2021-08-08",1
"Gauteng","Public Health","2021-06-23",9837
"Free State","Public Health","2021-08-21",1202
"KwaZulu-Natal","Public Health","2021-10-13",14012
"Mpumalanga","Private Health","2021-08-19",2511
"North West","Public Health","2021-05-30",60
"Eastern Cape","Public Health","2021-12-05",836
"North West","Public Health","2021-07-09",5791
"Northern Cape","Private Health","2021-06-03",29
"Gauteng","Public Health","2021-07-22",33586
"Gauteng","Private Health","2021-08-26",30752
"KwaZulu-Natal","Public Health","2021-07-21",42341
"Mpumalanga","Public Health","2021-11-22",1702
"Eastern Cape","Private Health","2021-07-05",2505
"KwaZulu-Natal","Private Health","2021-10-28",5245
"Gauteng","Public Health","2021-11-15",18684
"Gauteng","Public Health","2021-06-29",13473
"Northern Cape","Public Health","2021-05-20",464
"Limpopo","Private Health","2021-06-01",565
"Western Cape","Public Health","2021-11-07",118
"North West","Private Health","2021-10-20",2558
"Western Cape","Public Health","2021-11-26",9248
"North West","Private Health","2021-10-21",2718
"Western Cape","Private Health","2021-05-31",698
"Free State","Public Health","2021-11-25",4990
"kwazulu-natal","Private Health","2021-12-08",57
"Limpopo","Private Health","2021-12-01",1959
"Limpopo","Private Health","2021-08-10",2184
"Gauteng","Private Health","2021-05-19",2642
"Eastern Cape","Private Health","2021-08-18",3302
"western cape","Private Health","2021-12-05",5
"Eastern Cape","Private Health","2021-07-27",4371
"Eastern Cape","Public Health","2021-09-13",19067
"KwaZulu-Natal","Private Health","2021-07-19",4215
"Gauteng","Private Health","2021-10-13",22208
"Western Cape","Private Health","2021-10-15",12974
"Gauteng","Public Health","2021-08-18",23620
"Northern Cape","Private Health","2021-08-11",622
"KwaZulu-Natal","Private Health","2021-07-01",3761
"North West","Private Health","2021-12-02",1859
"Limpopo","Private Health","2021-07-01",300
"Western Cape","Public Health","2021-08-28",3552
"Limpopo","Public Health","2021-06-09",15164
"Mpumalanga","Private Health","2021-06-25",291
"KwaZulu-Natal","Private Health","2021-10-02",5545
"Northern Cape","Public Health","2021-10-07",2741
"Limpopo","Private Health","2021-12-02",1867
"Gauteng","Public Health","2021-10-25",27783
"Eastern Cape","Private Health","2021-05-28",503
"KwaZulu-Natal","Private Health","2021-06-24",1411
"Western Cape","Private Health","2021-12-10",5984
"Western Cape","Public Health","2021-10-02",8660
"Free State","Public Health","2021-06-19",302
"North West","Private Health","2021-07-15",1305
"Free State","Private Health","2021-12-11",175
"North West","Public Health","2021-10-11",2751
"KwaZulu-Natal","Private Health","2021-08-03",7589
"Limpopo","Public Health","2021-08-29",130
"Gauteng","Private Health","2021-08-11",19258
"Eastern Cape","Public Health","2021-11-21",506
"Eastern Cape","Private Health","2021-10-26",3065
"North West","Private Health","2021-07-23",2614
"Northern Cape","Private Health","2021-12-09",576
"Western Cape","Private Health","2021-08-05",10600
"Limpopo","Public Health","2021-08-26",17991
"Limpopo","Private Health","2021-08-28",408
"Free State","Public Health","2021-07-05",4091
"Northern Cape","Public Health","2021-06-28",913
"Eastern Cape","Public Health","2021-07-11",263
"north west","Private Health","2021-12-10",9
"KwaZulu-Natal","Private Health","2021-07-09",7386
"Gauteng","Private Health","2021-10-31",1385
"Northern Cape","Public Health","2021-09-12",314
"Free State","Private Health","2021-11-15",1673
"gauteng","Public Health","2021-12-13",11
"North West","Private Health","2021-06-20",2
"Limpopo","Public Health","2021-06-10",14072
"free state","Private Health","2021-12-14",7
"Mpumalanga","Private Health","2021-09-24",265
"Mpumalanga","Private Health","2021-10-29",1538
"Eastern Cape","Public Health","2021-09-27",11533
"Gauteng","Public Health","2021-06-28",11365
"North West","Private Health","2021-06-09",171
"western cape","Private Health","2021-12-03",101
"North West","Public Health","2021-09-11",1846
"North West","Private Health","2021-08-26",3690
"Mpumalanga","Private Health","2021-10-17",17
"Western Cape","Public Health","2021-10-25",17009
"Mpumalanga","Private Health","2021-06-01",297
"Limpopo","Public Health","2021-08-12",10469
"Free State","Private Health","2021-08-16",1971
"Western Cape","Public Health","2021-05-17",763
"Mpumalanga","Private Health","2021-10-13",2189
"Mpumalanga","Public Health","2021-11-30",3519
"Western Cape","Public Health","2021-09-26",18
"Free State","Public Health","2021-06-18",3692
"North West","Private Health","2021-09-08",3894
"Eastern Cape","Private Health","2021-12-11",547
"Free State","Private Health","2021-11-06",185
"Eastern Cape","Public Health","2021-06-02",1668
"Western Cape","Private Health","2021-12-07",6002
"Mpumalanga","Private Health","2021-11-05",1494
"Eastern Cape","Private Health","2021-10-29",3511
"North West","Private Health","2021-07-01",614
"Limpopo","Private Health","2021-11-26",1932
"Northern Cape","Public Health","2021-08-16",1335
"Northern Cape","Private Health","2021-12-07",738
"Western Cape","Private Health","2021-05-28",553
"Mpumalanga","Public Health","2021-10-10",54
"North West","Private Health","2021-06-23",173
"Northern Cape","Public Health","2021-10-27",2332
"KwaZulu-Natal","Public Health","2021-10-10",2164
"Northern Cape","Private Health","2021-08-01",1
"Gauteng","Private Health","2021-11-10",14104
"Western Cape","Private Health","2021-10-05",12385
"Eastern Cape","Private Health","2021-07-01",1445
"KwaZulu-Natal","Public Health","2021-09-30",8657
"Mpumalanga","Private Health","2021-12-09",1432
"Limpopo","Public Health","2021-11-13",3142
"Western Cape","Private Health","2021-07-20",9964
"Eastern Cape","Private Health","2021-11-16",2250
"Gauteng","Public Health","2021-07-29",19666
"Eastern Cape","Private Health","2021-06-30",1247
"Limpopo","Public Health","2021-10-18",9011
"Gauteng","Private Health","2021-09-24",2263
"KwaZulu-Natal","Public Health","2021-07-03",2347
"North West","Private Health","2021-08-24",5093
"Limpopo","Public Health","2021-09-14",14019
"Northern Cape","Public Health","2021-07-20",3642
"Northern Cape","Public Health","2021-06-21",1189
"Eastern Cape","Public Health","2021-09-30",8055
"Mpumalanga","Private Health","2021-10-18",2046
"North West","Private Health","2021-11-04",2738
"Free State","Public Health","2021-07-22",10475
"Limpopo","Public Health","2021-12-04",4467
"western cape","Public Health","2021-12-08",33
"Northern Cape","Public Health","2021-08-06",865
"North West","Public Health","2021-07-26",6584
"Eastern Cape","Private Health","2021-12-05",151
"Mpumalanga","Private Health","2021-09-21",2078
"KwaZulu-Natal","Public Health","2021-07-06",26338
"Free State","Private Health","2021-08-30",2911
"Mpumalanga","Private Health","2021-09-14",2719
"Northern Cape","Public Health","2021-10-10",199
"Limpopo","Public Health","2021-07-12",20225
"KwaZulu-Natal","Private Health","2021-10-18",5105
"Northern Cape","Public Health","2021-08-05",1166
"Free State","Public Health","2021-10-08",5603
"North West","Public Health","2021-07-27",6901
"KwaZulu-Natal","Private Health","2021-07-25",548
"KwaZulu-Natal","Public Health","2021-07-13",2226
"North West","Public Health","2021-08-13",4232
"Mpumalanga","Public Health","2021-12-08",2880
"North West","Private Health","2021-08-20",4708
"Eastern Cape","Private Health","2021-09-08",3992
"North West","Private Health","2021-09-12",269
"Eastern Cape","Private Health","2021-10-16",660
"Limpopo","Private Health","2021-09-23",2740
"Free State","Private Health","2021-06-04",106
"Mpumalanga","Public Health","2021-09-06",8393
"Mpumalanga","Private Health","2021-06-27",2
"Free State","Private Health","2021-10-21",2045
"Eastern Cape","Private Health","2021-05-27",819
"Mpumalanga","Public Health","2021-11-02",3191
"Gauteng","Public Health","2021-08-24",34301
"KwaZulu-Natal","Private Health","2021-09-10",9239
"KwaZulu-Natal","Private Health","2021-11-24",3364
"Free State","Public Health","2021-05-25",3287
"Free State","Private Health","2021-10-17",2
"North West","Public Health","2021-08-25",5595
"mpumalanga","Private Health","2021-12-08",6
"Limpopo","Private Health","2021-09-29",3044
"Western Cape","Private Health","2021-07-02",5812
"North West","Public Health","2021-09-26",281
"Western Cape","Public Health","2021-11-13",5504
"Gauteng","Private Health","2021-08-05",19389
"Mpumalanga","Public Health","2021-09-16",4266
"Free State","Public Health","2021-06-21",3958
"Western Cape","Public Health","2021-06-23",7244
"Northern Cape","Private Health","2021-05-24",24
"Eastern Cape","Private Health","2021-12-08",1873
"Mpumalanga","Private Health","2021-11-01",166
"Gauteng","Public Health","2021-10-09",5182
"Mpumalanga","Private Health","2021-11-21",10
"Gauteng","Public Health","2021-11-06",3203
"Limpopo","Public Health","2021-06-07",10395
"Mpumalanga","Public Health","2021-09-23",3296
"KwaZulu-Natal","Private Health","2021-06-05",56
"Northern Cape","Public Health","2021-08-03",1948
"Eastern Cape","Private Health","2021-11-03",2822
"Western Cape","Public Health","2021-12-11",1314
"Northern Cape","Public Health","2021-07-17",683
"Western Cape","Private Health","2021-07-13",7178
"Gauteng","Private Health","2021-12-15",11236
"Northern Cape","Private Health","2021-06-23",159
"KwaZulu-Natal","Public Health","2021-06-30",19046
"Mpumalanga","Public Health","2021-06-18",3723
"Northern Cape","Private Health","2021-10-18",668
"Northern Cape","Private Health","2021-12-05",58
"Eastern Cape","Private Health","2021-08-16",3061
"KwaZulu-Natal","Private Health","2021-08-01",1376
"Limpopo","Public Health","2021-07-28",8309
"Western Cape","Public Health","2021-10-10",105
"Northern Cape","Public Health","2021-07-27",1640
"Free State","Private Health","2021-06-09",154
"Gauteng","Private Health","2021-08-30",31405
"Mpumalanga","Private Health","2021-06-29",562
"Eastern Cape","Public Health","2021-05-21",3641
"Limpopo","Public Health","2021-08-10",12336
"Western Cape","Private Health","2021-08-23",16071
"Limpopo","Public Health","2021-08-18",10821
"Gauteng","Private Health","2021-07-17",7750
"Free State","Private Health","2021-07-18",50
"Free State","Private Health","2021-08-20",2990
"Limpopo","Private Health","2021-10-19",1990
"KwaZulu-Natal","Public Health","2021-10-26",13914
"Eastern Cape","Private Health","2021-05-25",295
"North West","Private Health","2021-10-18",2405
"Gauteng","Public Health","2021-08-27",35037
"North West","Private Health","2021-10-10",134
"Eastern Cape","Public Health","2021-10-16",1068
"Northern Cape","Public Health","2021-12-09",1143
"Limpopo","Private Health","2021-09-27",2928
"North West","Public Health","2021-10-04",4023
"Free State","Public Health","2021-08-05",5348
"Gauteng","Public Health","2021-08-20",30777
"Mpumalanga","Private Health","2021-11-30",1845
"Eastern Cape","Private Health","2021-08-30",4829
"Northern Cape","Private Health","2021-07-06",376
"KwaZulu-Natal","Public Health","2021-09-26",1357
"Eastern Cape","Public Health","2021-08-31",25768
"Eastern Cape","Public Health","2021-08-21",426
"Northern Cape","Private Health","2021-07-16",554
"Eastern Cape","Private Health","2021-06-07",1071
"Eastern Cape","Public Health","2021-10-05",11205
"Free State","Public Health","2021-11-17",4363
"Northern Cape","Public Health","2021-07-01",1137
"Mpumalanga","Public Health","2021-06-07",4120
"Western Cape","Public Health","2021-07-12",17310
"North West","Private Health","2021-05-24",21
"Mpumalanga","Private Health","2021-10-07",2751
"Eastern Cape","Private Health","2021-11-24",1832
"Gauteng","Private Health","2021-07-10",5063
"North West","Public Health","2021-06-27",106
"Mpumalanga","Private Health","2021-10-10",23
"Gauteng","Private Health","2021-06-04",7648
"North West","Public Health","2021-05-26",2753
"Mpumalanga","Public Health","2021-11-18",2046
"North West","Public Health","2021-07-25",21
"North West","Private Health","2021-11-15",1870
"Northern Cape","Public Health","2021-08-21",303
"Limpopo","Private Health","2021-11-03",3227
"Gauteng","Public Health","2021-10-23",6607
"Free State","Private Health","2021-10-19",1956
"Northern Cape","Public Health","2021-09-09",2969
"Limpopo","Private Health","2021-06-18",295
"Gauteng","Private Health","2021-12-05",1498
"Eastern Cape","Public Health","2021-09-05",1275
"mpumalanga","Private Health","2021-12-09",3
"Northern Cape","Private Health","2021-07-27",525
"Eastern Cape","Private Health","2021-11-29",2671
"Western Cape","Private Health","2021-12-04",2902
"Northern Cape","Public Health","2021-08-02",1494
"KwaZulu-Natal","Public Health","2021-11-25",8882
"Limpopo","Private Health","2021-10-13",3224
"KwaZulu-Natal","Private Health","2021-05-21",232
"Gauteng","Public Health","2021-08-22",1875
"Eastern Cape","Private Health","2021-08-03",4105
"Mpumalanga","Public Health","2021-06-09",5846
"North West","Private Health","2021-10-09",671
"Limpopo","Private Health","2021-09-11",519
"Western Cape","Public Health","2021-06-09",13490
"Western Cape","Private Health","2021-09-12",508
"Limpopo","Public Health","2021-10-10",70
"Western Cape","Public Health","2021-09-19",245
"North West","Private Health","2021-07-13",1334
"Western Cape","Private Health","2021-06-25",3282
"North West","Public Health","2021-10-21",3775
"Free State","Public Health","2021-11-12",5306
"Mpumalanga","Private Health","2021-06-24",338
"North West","Public Health","2021-09-01",4958
"Gauteng","Public Health","2021-10-21",29480
"Eastern Cape","Public Health","2021-07-12",25515
"Limpopo","Public Health","2021-05-29",1
"Limpopo","Public Health","2021-06-22",14035
"North West","Public Health","2021-08-21",1604
"Northern Cape","Private Health","2021-07-26",633
"Mpumalanga","Public Health","2021-08-17",4244
"Limpopo","Public Health","2021-07-03",1
"Northern Cape","Public Health","2021-11-17",1632
"Mpumalanga","Public Health","2021-10-30",1364
"North West","Private Health","2021-11-13",596
"Eastern Cape","Public Health","2021-08-08",51
"KwaZulu-Natal","Public Health","2021-06-07",14649
"Mpumalanga","Private Health","2021-10-24",21
"North West","Private Health","2021-07-07",1306
"Free State","Public Health","2021-08-02",7406
"Mpumalanga","Public Health","2021-06-14",4821
"Mpumalanga","Public Health","2021-08-30",9650
"Limpopo","Private Health","2021-11-29",2411
"eastern cape","Public Health","2021-12-08",3
"Free State","Private Health","2021-08-09",46
"North West","Public Health","2021-05-24",3191
"Western Cape","Private Health","2021-08-04",10527
"Western Cape","Public Health","2021-12-01",11519
"Western Cape","Private Health","2021-12-09",5424
"Western Cape","Public Health","2021-06-11",11209
"Free State","Private Health","2021-10-12",2581
"Western Cape","Public Health","2021-12-05",1089
"Northern Cape","Public Health","2021-06-01",464
"North West","Public Health","2021-06-16",948
"KwaZulu-Natal","Private Health","2021-08-25",8403
"Limpopo","Private Health","2021-08-04",2525
"Mpumalanga","Public Health","2021-08-07",710
"KwaZulu-Natal","Public Health","2021-07-02",23817
"Gauteng","Public Health","2021-10-08",25873
"Northern Cape","Public Health","2021-05-17",178
"Eastern Cape","Private Health","2021-07-26",4171
"Western Cape","Private Health","2021-10-31",189
"Limpopo","Public Health","2021-08-23",12679
"Eastern Cape","Public Health","2021-07-27",16186
"Eastern Cape","Public Health","2021-12-13",4052
"KwaZulu-Natal","Public Health","2021-11-10",9308
"North West","Private Health","2021-06-17",129
"Mpumalanga","Public Health","2021-07-27",10933
"Northern Cape","Private Health","2021-08-28",350
"North West","Private Health","2021-08-19",3348
"Limpopo","Private Health","2021-08-02",2965
"Mpumalanga","Private Health","2021-10-11",2525
"Northern Cape","Private Health","2021-10-21",642
"Mpumalanga","Private Health","2021-06-07",225
"Limpopo","Private Health","2021-11-23",1623
"Gauteng","Private Health","2021-10-08",33220
"Free State","Private Health","2021-10-06",3129
"Eastern Cape","Public Health","2021-05-23",210
"Western Cape","Private Health","2021-06-30",3470
"Eastern Cape","Public Health","2021-05-28",4251
"Gauteng","Public Health","2021-06-30",12258
"KwaZulu-Natal","Private Health","2021-09-23",7762
"KwaZulu-Natal","Public Health","2021-06-20",892
"Western Cape","Private Health","2021-06-05",370
"Limpopo","Public Health","2021-11-08",4743
"Free State","Public Health","2021-11-05",4161
"Limpopo","Private Health","2021-06-25",195
"Mpumalanga","Public Health","2021-11-01",1741
"KwaZulu-Natal","Public Health","2021-10-28",12314
"Western Cape","Private Health","2021-12-08",5393
"Gauteng","Private Health","2021-08-25",29926
"Northern Cape","Private Health","2021-11-19",753
"Northern Cape","Public Health","2021-11-11",1462
"Limpopo","Private Health","2021-08-23",3030
"KwaZulu-Natal","Private Health","2021-06-25",1205
"Free State","Private Health","2021-07-19",2239
"Free State","Public Health","2021-06-26",192
"Limpopo","Public Health","2021-07-29",18587
"Northern Cape","Private Health","2021-08-13",631
"Eastern Cape","Private Health","2021-11-19",2347
"Northern Cape","Private Health","2021-09-28",731
"KwaZulu-Natal","Public Health","2021-05-30",1457
"KwaZulu-Natal","Public Health","2021-06-09",15555
"Northern Cape","Public Health","2021-12-01",1327
"Eastern Cape","Private Health","2021-12-04",1054
"mpumalanga","Public Health","2021-12-06",1
"Northern Cape","Public Health","2021-08-31",3802
"Gauteng","Public Health","2021-07-19",33801
"kwazulu-natal","Public Health","2021-12-01",2
"Northern Cape","Public Health","2021-09-24",757
"Western Cape","Public Health","2021-07-02",11700
"Limpopo","Public Health","2021-11-04",7041
"Limpopo","Public Health","2021-09-05",339
"KwaZulu-Natal","Private Health","2021-10-08",11040
"Gauteng","Private Health","2021-08-16",20168
"KwaZulu-Natal","Public Health","2021-10-31",2555
"Gauteng","Public Health","2021-11-23",18725
"Gauteng","Private Health","2021-11-18",13253
"Western Cape","Public Health","2021-05-25",6448
"Mpumalanga","Public Health","2021-07-12",7928
"KwaZulu-Natal","Public Health","2021-08-16",8854
"Gauteng","Private Health","2021-10-19",17799
"free state","Private Health","2021-12-04",2
"Western Cape","Private Health","2021-10-29",11307
"Free State","Public Health","2021-10-21",7419
"Gauteng","Private Health","2021-08-18",21609
"Limpopo","Private Health","2021-08-29",4
"Eastern Cape","Public Health","2021-06-03",1830
"Gauteng","Public Health","2021-06-05",112
"Eastern Cape","Public Health","2021-09-25",565
"North West","Public Health","2021-10-13",3193
"Northern Cape","Public Health","2021-12-06",1156
"Northern Cape","Public Health","2021-06-23",852
"Northern Cape","Private Health","2021-11-29",714
"North West","Public Health","2021-09-23",4353
"Western Cape","Private Health","2021-06-20",52
"Limpopo","Public Health","2021-09-27",4333
"Mpumalanga","Public Health","2021-07-25",63
"North West","Private Health","2021-11-25",1608
"Gauteng","Public Health","2021-08-10",17674
"KwaZulu-Natal","Private Health","2021-07-11",230
"Limpopo","Public Health","2021-07-10",2
"Northern Cape","Public Health","2021-07-18",912
"Northern Cape","Public Health","2021-09-17",2128
"Western Cape","Public Health","2021-11-30",11433
"Gauteng","Public Health","2021-08-25",32828
"Free State","Private Health","2021-07-07",1095
"Northern Cape","Private Health","2021-10-06",920
"limpopo","Private Health","2021-12-06",2
"Gauteng","Public Health","2021-07-01",12581
"Western Cape","Private Health","2021-12-14",4636
"Eastern Cape","Public Health","2021-11-24",8935
"Gauteng","Private Health","2021-05-23",370
"North West","Private Health","2021-07-09",1357
"Eastern Cape","Public Health","2021-11-29",11298
"KwaZulu-Natal","Private Health","2021-06-18",1397
"gauteng","Private Health","2021-12-06",196
"Free State","Private Health","2021-10-08",2986
"Gauteng","Public Health","2021-12-03",21619
"Western Cape","Private Health","2021-09-18",2246
"Western Cape","Public Health","2021-09-25",1299
"Mpumalanga","Private Health","2021-05-21",2
"North West","Public Health","2021-06-07",3607
"Eastern Cape","Private Health","2021-07-02",2247
"Eastern Cape","Public Health","2021-10-01",9211
